kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gemm.1.sm_30.ptx 112 : 65536 458752 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 109 : 2097152 17141216 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 108 : 2097152 18833696 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 107 : 2097152 24482688 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 106 : 2097152 24343200 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 105 : 2097152 24109376 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 104 : 2097152 18094016 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 103 : 2097152 22061984 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 102 : 2097152 708489888 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 101 : 2097152 25619648 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 100 : 2097152 133584960 0 0 0 65536 65536 0 0 
gemm.1.sm_30.ptx 99 : 2097152 42862784 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 98 : 2097152 22433376 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 97 : 2097152 714399808 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 96 : 2097152 25611104 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 95 : 2097152 132669824 0 0 0 65536 65536 0 0 
gemm.1.sm_30.ptx 94 : 2097152 43075328 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 93 : 2097152 22442368 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 92 : 2097152 717399104 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 91 : 2097152 25776256 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 90 : 2097152 133378208 0 0 0 65536 65536 0 0 
gemm.1.sm_30.ptx 55 : 65536 434976 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 54 : 65536 618720 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 53 : 65536 285184 0 0 0 8192 2048 0 0 
gemm.1.sm_30.ptx 52 : 65536 594080 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 51 : 65536 30861056 0 0 0 8192 2048 0 0 
gemm.1.sm_30.ptx 50 : 65536 651264 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 49 : 65536 688128 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 48 : 65536 712192 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 47 : 65536 507904 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 46 : 65536 434688 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 45 : 65536 423424 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 42 : 65536 448000 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 41 : 65536 0 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 40 : 65536 425984 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 56 : 65536 693472 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 27 : 65536 1102848 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 86 : 2097152 25553920 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 57 : 65536 629024 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 28 : 65536 995840 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 87 : 2097152 715023072 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 29 : 65536 867328 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 88 : 2097152 22446112 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 30 : 65536 670720 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 89 : 2097152 43136384 0 0 0 262144 65536 0 0 
gemm.1.sm_30.ptx 31 : 65536 381440 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 32 : 65536 480768 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 33 : 65536 899072 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 34 : 65536 508416 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 35 : 65536 529920 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 36 : 65536 519168 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 37 : 65536 991744 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 38 : 65536 688128 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 39 : 65536 435200 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 58 : 65536 499168 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 59 : 65536 534048 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 62 : 2097152 23629024 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 63 : 2097152 783624640 0 0 0 65536 65536 0 0 
gemm.1.sm_30.ptx 64 : 2097152 19150272 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 65 : 2097152 19687904 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 66 : 2097152 20141632 0 0 0 0 0 0 0 
